id,treatment,task,answer,captcha,attention,age,gender,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
449,Tool,NonSocial,Hobbit,1,TikTok,53,Male,The book 'The Hobbit',5,5,3,C,0.55,6,2,4,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,5
450,Control,Social,Father,1,TikTok,52,Male,Their father,5,6,7,B,0.86,6,6,6,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,5,5
451,Tool,Social,Sister,1,TikTok,69,Male,Their sister,6,6,4,B,0.5,5,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,1,No,1,4
452,Control,Social,Sister,1,TikTok,31,Male,Their sister,6,7,7,A,1,6,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,5
453,Tool,NonSocial,Buffy,1,TikTok,48,Female,The TV show 'Buffy the Vampire Slayer',7,7,7,A,1,7,6,5,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,5
454,Full,Social,Sister,1,TikTok,51,Female,Their sister,6,2,2,C,0.08,3,3,2,7,2,They copied it word-for-word from ChatGPT,Yes,2,No,2,4
455,Tool,Social,Sister,1,TikTok,21,Female,Their sister,6,7,7,A,1,7,7,7,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,5
456,Control,NonSocial,Titanic,1,TikTok,31,Male,The film 'Titanic',4,3,3,C,0.5,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,5,No,1,2
457,Full,Social,Father,1,TikTok,56,Female,Their father,3,3,4,C,0.5,1,1,1,7,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
458,Control,NonSocial,Buffy,1,TikTok,51,Female,The TV show 'Buffy the Vampire Slayer',5,5,6,B,1,6,5,5,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,3
459,Control,NonSocial,Hobbit,1,TikTok,31,Female,The book 'The Hobbit',7,6,6,B,0.8,6,5,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
460,Tool,NonSocial,Hobbit,1,TikTok,26,Female,The book 'The Hobbit',6,4,3,B,0.8,5,4,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
461,Full,NonSocial,Buffy,1,TikTok,53,Male,The TV show 'Buffy the Vampire Slayer',3,4,2,D,0.25,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
462,Full,NonSocial,Buffy,1,TikTok,31,Female,The TV show 'Buffy the Vampire Slayer',5,6,5,B,0.6,6,4,4,4,7,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
463,Full,NonSocial,Hobbit,1,TikTok,54,Male,The book 'The Hobbit',7,5,6,D,0.1,4,4,2,7,3,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
464,Control,NonSocial,Titanic,1,TikTok,29,Male,The film 'Titanic',6,5,6,B,0.8,6,5,5,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
465,Tool,Social,Father,1,TikTok,62,Male,Their father,4,5,5,C,0.6,4,5,5,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,4
466,Tool,NonSocial,Buffy,1,TikTok,60,Female,The TV show 'Buffy the Vampire Slayer',5,5,4,C,0.3,4,3,2,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
467,Control,Social,Friend,1,TikTok,42,Female,Their best friend,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",No,1,No,1,2
468,Control,NonSocial,Hobbit,1,TikTok,65,Male,The book 'The Hobbit',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
469,Tool,NonSocial,Buffy,1,TikTok,43,Female,The TV show 'Buffy the Vampire Slayer',6,4,4,B,0.12,4,5,5,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
470,Control,NonSocial,Buffy,1,TikTok,28,Female,The TV show 'Buffy the Vampire Slayer',6,5,4,B,1,5,5,5,2,5,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,3,4
471,Tool,NonSocial,Titanic,1,TikTok,44,Female,The film 'Titanic',3,4,3,C,0.08,3,4,3,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,5
472,Full,Social,Father,1,TikTok,46,Female,Their father,6,3,3,D,0.09,2,4,2,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,4
473,Control,Social,Sister,1,TikTok,27,Female,Their sister,4,5,4,C,0.29,3,4,3,3,2,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
474,Tool,NonSocial,Hobbit,1,TikTok,44,Female,The book 'The Hobbit',5,3,6,B,0.75,5,5,4,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
475,Tool,NonSocial,Titanic,1,TikTok,78,Male,The film 'Titanic',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,4
476,Control,Social,Sister,1,TikTok,49,Female,Their sister,6,7,7,B,0.9,6,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
477,Tool,NonSocial,Titanic,1,TikTok,21,Female,The film 'Titanic',4,5,5,B,0.7,5,6,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,4
478,Tool,Social,Father,1,TikTok,45,Male,Their father,6,7,6,A,1,6,7,7,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
479,Tool,Social,Sister,1,TikTok,58,Male,Their sister,6,6,4,C,0.7,3,3,2,2,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
480,Tool,NonSocial,Buffy,1,TikTok,33,Male,The TV show 'Buffy the Vampire Slayer',6,7,7,B,0.75,7,5,6,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,5
481,Control,NonSocial,Titanic,1,TikTok,26,Male,The film 'Titanic',6,5,5,B,0.72,7,5,6,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,2
482,Full,NonSocial,Buffy,1,TikTok,59,Female,The TV show 'Buffy the Vampire Slayer',7,6,1,B,0.19,5,4,5,5,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
483,Control,Social,Father,1,TikTok,41,Female,Their father,5,6,6,B,1,6,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,3,4
484,Tool,Social,Sister,1,Twitter,30,Male,NA,4,5,5,B,0.59,5,5,6,3,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,4,5
485,Tool,NonSocial,Hobbit,1,TikTok,43,Male,The book 'The Hobbit',2,1,2,D,0,2,2,2,6,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,No,1,2
486,Full,Social,Friend,1,TikTok,48,Female,Their best friend,5,6,6,C,0.7,6,6,5,5,6,They copied it word-for-word from ChatGPT,No,5,Yes,2,4
487,Full,NonSocial,Hobbit,1,TikTok,49,Female,The book 'The Hobbit',3,3,3,C,0.69,5,3,4,4,4,They copied it word-for-word from ChatGPT,No,5,Yes,4,4
488,Tool,Social,Sister,1,TikTok,28,Male,Their sister,5,5,3,B,0.75,4,5,6,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,3
489,Control,Social,Sister,1,TikTok,40,Female,Their sister,6,7,7,B,0.6,6,7,7,3,6,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,4
490,Control,NonSocial,Hobbit,1,TikTok,51,Female,The book 'The Hobbit',5,5,6,B,0.71,5,4,4,4,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
491,Control,Social,Sister,1,TikTok,27,Female,Their sister,7,7,7,A,0.8,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,5,No,1,5
492,Full,NonSocial,Buffy,1,TikTok,40,Female,The TV show 'Buffy the Vampire Slayer',7,1,1,E,0.1,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,4
493,Tool,Social,Friend,1,TikTok,21,Male,Their best friend,6,7,5,B,0.7,5,6,4,6,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,6
494,Control,NonSocial,Titanic,1,TikTok,22,Male,The film 'Titanic',6,6,7,B,0.84,6,7,6,3,7,"They wrote it themselves, without any help from ChatGPT",Yes,3,Yes,3,6
495,Tool,NonSocial,Buffy,1,TikTok,52,Female,The TV show 'Buffy the Vampire Slayer',6,7,7,B,0.5,6,6,6,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,4
496,Tool,NonSocial,Titanic,1,TikTok,23,Female,The film 'Titanic',3,5,2,D,1,3,5,4,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,3
497,Tool,NonSocial,Buffy,1,TikTok,72,Male,The TV show 'Buffy the Vampire Slayer',7,7,6,B,0.4,6,6,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,6
498,Full,Social,Sister,1,TikTok,68,Female,Their sister,6,5,2,C,0.01,2,2,2,2,1,They copied it word-for-word from ChatGPT,No,4,No,1,2
499,Tool,NonSocial,Buffy,1,TikTok,32,Female,The TV show 'Buffy the Vampire Slayer',6,5,4,B,0.81,5,5,6,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,4,4
500,Tool,Social,Sister,1,TikTok,63,Female,Their sister,5,5,5,B,0.81,5,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,4
501,Tool,NonSocial,Hobbit,1,TikTok,41,Female,The book 'The Hobbit',6,6,5,B,0.7,5,4,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
502,Tool,NonSocial,Titanic,1,TikTok,54,Female,The film 'Titanic',6,5,2,C,0.45,3,3,2,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,6
503,Full,Social,Friend,1,TikTok,28,Female,Their best friend,5,5,5,B,0.2,4,4,4,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
504,Control,NonSocial,Hobbit,1,TikTok,31,Female,The book 'The Hobbit',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,4
505,Tool,Social,Friend,1,TikTok,25,Female,Their best friend,7,7,5,A,0.7,6,6,6,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
506,Tool,Social,Father,1,TikTok,66,Female,Their father,6,7,6,B,0.91,6,6,6,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,3
507,Full,NonSocial,Buffy,1,TikTok,29,Female,The TV show 'Buffy the Vampire Slayer',7,4,5,B,0.7,7,4,2,3,2,They copied it word-for-word from ChatGPT,Yes,4,No,1,3
508,Full,Social,Sister,1,TikTok,29,Female,Their sister,5,6,4,C,0.5,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,4
509,Control,NonSocial,Buffy,1,TikTok,47,Male,The TV show 'Buffy the Vampire Slayer',7,6,7,A,1,7,6,4,1,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,3
510,Full,Social,Sister,1,TikTok,60,Male,Their sister,7,7,1,C,0.5,1,6,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,1
511,Tool,Social,Friend,1,TikTok,48,Female,Their best friend,5,6,5,B,0.5,5,5,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,5
512,Full,Social,Friend,1,TikTok,63,Male,Their best friend,5,1,1,D,0.39,5,3,2,7,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,2
513,Control,Social,Friend,1,TikTok,59,Female,Their best friend,6,7,7,B,1,6,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
514,Control,Social,Friend,1,TikTok,28,Female,Their best friend,4,5,4,B,0.5,6,6,5,3,5,"They wrote it themselves, without any help from ChatGPT",No,4,Yes,2,3
515,Control,Social,Father,1,TikTok,50,Female,Their father,7,6,4,B,0.71,6,6,5,2,5,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,3,4
516,Control,NonSocial,Buffy,1,TikTok,26,Female,The TV show 'Buffy the Vampire Slayer',6,7,7,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
517,Tool,Social,Sister,1,TikTok,37,Female,Their sister,6,6,6,B,0.62,6,5,5,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,4,5
518,Tool,NonSocial,Hobbit,1,TikTok,35,Female,The book 'The Hobbit',5,4,4,C,0.7,4,4,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
519,Full,Social,Friend,1,TikTok,48,Female,Their best friend,6,7,4,B,1,7,7,7,1,6,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,6
520,Tool,Social,Friend,1,TikTok,59,Female,Their best friend,7,7,7,B,0.93,6,6,6,3,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,5
521,Tool,Social,Sister,0.5,TikTok,32,Male,Their sister,6,6,7,B,1,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,2,6
522,Tool,NonSocial,Buffy,1,TikTok,55,Female,The TV show 'Buffy the Vampire Slayer',6,6,4,B,0.9,6,6,6,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,6
523,Full,NonSocial,Buffy,1,TikTok,39,Female,The TV show 'Buffy the Vampire Slayer',6,5,1,E,0,1,4,1,7,1,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,2
524,Tool,NonSocial,Hobbit,1,TikTok,64,Male,The book 'The Hobbit',1,1,2,E,0,3,4,3,7,1,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,No,1,5
525,Full,Social,Father,0.8999999761581421,TikTok,22,Female,Their father,6,6,5,B,1,6,3,3,5,2,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,5
526,Tool,NonSocial,Buffy,1,TikTok,36,Male,The TV show 'Buffy the Vampire Slayer',7,7,5,NA,NA,5,6,4,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,5
527,Control,Social,Sister,1,TikTok,33,Female,Their sister,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
528,Tool,Social,Sister,1,TikTok,24,Female,Their sister,6,5,4,A,0.7,4,5,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,4,3
529,Control,Social,Sister,1,TikTok,65,Female,Their sister,7,7,7,B,0.9,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
530,Control,NonSocial,Hobbit,0.800000011920929,TikTok,29,Female,The book 'The Hobbit',7,7,7,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
531,Full,NonSocial,Titanic,1,TikTok,58,Male,The film 'Titanic',5,3,3,C,0.2,2,3,1,7,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,6
532,Tool,NonSocial,Buffy,1,TikTok,26,Female,The TV show 'Buffy the Vampire Slayer',7,5,5,C,0.5,4,6,6,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
533,Full,NonSocial,Buffy,1,TikTok,49,Female,The TV show 'Buffy the Vampire Slayer',7,3,1,E,0,1,4,1,7,2,They copied it word-for-word from ChatGPT,Yes,1,No,1,2
534,Control,Social,Friend,1,TikTok,59,Female,Their best friend,4,6,6,C,0.5,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,4
535,Control,Social,Sister,1,TikTok,38,Male,Their sister,6,7,7,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,5
536,Tool,NonSocial,Titanic,1,TikTok,76,Male,The film 'Titanic',5,5,7,C,1,4,4,5,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,2
537,Control,NonSocial,Titanic,1,TikTok,36,Male,The film 'Titanic',7,7,4,A,1,7,5,5,1,5,"They wrote it themselves, without any help from ChatGPT",No,3,Yes,2,5
538,Tool,Social,Sister,1,TikTok,54,Female,Their sister,5,6,4,B,1,5,6,6,1,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,4
539,Control,NonSocial,Titanic,1,TikTok,61,Female,The film 'Titanic',7,6,4,A,1,6,4,3,6,4,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,5
540,Full,NonSocial,Titanic,1,TikTok,59,Male,The film 'Titanic',6,5,4,B,0.6,6,4,4,3,6,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
541,Full,Social,Friend,1,TikTok,46,Male,Their best friend,6,6,5,B,0.5,6,5,6,4,5,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
542,Full,NonSocial,Titanic,0.699999988079071,TikTok,20,Male,The film 'Titanic',7,6,3,A,0.3,3,4,4,7,3,They copied it word-for-word from ChatGPT,No,6,Yes,4,5
543,Tool,Social,Sister,1,TV,41,Female,Their sister,6,6,6,B,0.91,6,6,5,6,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,No,1,3
544,Control,NonSocial,Buffy,1,TikTok,57,Female,The TV show 'Buffy the Vampire Slayer',6,6,6,B,0.9,6,6,6,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,4
545,Control,Social,Father,1,TikTok,48,Female,Their father,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,4
546,Control,NonSocial,Buffy,1,TikTok,58,Male,The TV show 'Buffy the Vampire Slayer',7,5,5,B,0.82,7,5,4,1,7,"They wrote it themselves, without any help from ChatGPT",No,3,Yes,2,7
547,Full,NonSocial,Buffy,1,TikTok,38,Female,The TV show 'Buffy the Vampire Slayer',4,2,2,D,0.07,3,3,4,5,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
548,Tool,NonSocial,Buffy,1,TikTok,63,Female,The TV show 'Buffy the Vampire Slayer',3,6,3,C,0.4,3,5,4,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,No,1,2
549,Control,Social,Father,1,Radio,45,Female,Their father,7,7,7,A,1,7,7,7,1,4,NA,Yes,5,No,1,4
550,Full,NonSocial,Buffy,1,TikTok,27,Male,The TV show 'Buffy the Vampire Slayer',6,6,6,E,0.1,2,4,4,3,4,They copied it word-for-word from ChatGPT,No,6,Yes,3,2
551,Control,NonSocial,Hobbit,1,TikTok,58,Male,The book 'The Hobbit',4,5,5,C,0.4,5,5,4,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,2,2
552,Tool,Social,Father,0.8999999761581421,TikTok,61,Female,Their father,6,6,6,B,1,6,6,6,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
553,Tool,Social,Father,1,TikTok,45,Female,Their father,5,5,3,C,0.7,3,2,3,2,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,5
554,Full,Social,Father,1,TikTok,20,Female,Their father,7,5,1,E,0.04,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
555,Control,Social,Father,1,TikTok,51,Female,Their father,6,7,7,B,0.73,6,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
556,Control,NonSocial,Hobbit,1,TikTok,27,Male,The book 'The Hobbit',5,3,4,B,0.7,6,4,5,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,4
557,Control,NonSocial,Buffy,1,TikTok,21,Female,The TV show 'Buffy the Vampire Slayer',5,5,5,A,1,7,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
558,Tool,NonSocial,Titanic,1,TikTok,58,Female,The film 'Titanic',6,6,5,B,0.75,4,4,3,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,4
559,Tool,Social,Father,1,TikTok,58,Male,Their father,5,6,5,B,0.8,5,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
560,Tool,Social,Sister,1,TikTok,36,Female,Their sister,7,7,7,A,1,6,7,7,4,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,No,1,5
561,Full,NonSocial,Buffy,1,TikTok,27,Male,The TV show 'Buffy the Vampire Slayer',6,1,1,E,0,1,2,4,7,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
562,Control,NonSocial,Titanic,1,TikTok,21,Female,The film 'Titanic',7,5,6,B,0.5,6,6,4,1,2,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,1
563,Control,NonSocial,Titanic,1,TikTok,53,Male,The film 'Titanic',6,5,3,B,0.8,6,6,6,1,4,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,3
564,Tool,NonSocial,Hobbit,1,TikTok,61,Female,The book 'The Hobbit',6,6,6,B,0.85,5,5,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,No,1,3
565,Tool,Social,Friend,1,TikTok,64,Female,Their best friend,5,2,2,C,0.5,5,5,5,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,4
566,Tool,Social,Sister,1,TikTok,25,Female,Their sister,6,4,3,B,0.2,5,4,4,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
567,Tool,Social,Friend,1,TikTok,55,Male,Their best friend,2,2,2,E,0,1,1,1,5,1,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,4,Yes,2,1
568,Control,NonSocial,Titanic,1,TikTok,61,Male,The film 'Titanic',2,3,2,D,0,4,5,4,2,1,"They wrote it themselves, without any help from ChatGPT",No,2,Yes,2,3
569,Full,Social,Sister,1,TikTok,37,Male,Their sister,7,1,1,D,0.1,6,4,4,6,6,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,1
570,Full,Social,Friend,1,TikTok,62,Female,Their best friend,4,5,1,B,0.79,4,5,5,5,3,They copied it word-for-word from ChatGPT,No,1,No,1,1
571,Tool,NonSocial,Hobbit,1,TikTok,27,Female,The book 'The Hobbit',6,5,5,A,0.85,4,6,4,2,2,They copied it word-for-word from ChatGPT,No,6,Yes,3,2
572,Control,Social,Sister,1,TikTok,78,Male,Their sister,5,6,6,C,0.8,6,7,4,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
573,Full,Social,Sister,1,TikTok,34,Female,Their sister,5,4,4,C,0.2,4,2,2,6,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
574,Tool,Social,Sister,1,TikTok,28,Male,Their sister,5,5,4,B,0.7,5,6,5,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,4
575,Full,NonSocial,Hobbit,1,TikTok,28,Male,The book 'The Hobbit',4,2,2,E,0,2,2,2,6,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
576,Full,Social,Father,1,TikTok,53,Male,Their father,4,2,1,D,0.1,4,3,2,7,1,They copied it word-for-word from ChatGPT,No,5,Yes,3,1
577,Full,Social,Sister,1,TikTok,19,Female,Their sister,4,2,2,C,0.3,4,2,3,6,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,5
578,Full,Social,Friend,1,TikTok,37,Male,Their best friend,4,3,2,D,0.01,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,4
579,Control,Social,Friend,1,TikTok,36,Male,Their sister,3,4,3,C,0.29,5,5,4,2,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,5
580,Full,NonSocial,Titanic,1,TikTok,26,Male,The film 'Titanic',7,6,5,A,1,6,5,5,6,4,They copied it word-for-word from ChatGPT,No,3,Yes,2,3
581,Tool,NonSocial,Hobbit,1,TikTok,23,Male,The book 'The Hobbit',4,3,2,D,0.41,2,2,3,7,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,3
582,Control,NonSocial,Hobbit,1,TikTok,54,Female,The book 'The Hobbit',5,6,5,B,1,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,4
583,Full,NonSocial,Buffy,1,TikTok,42,Female,The TV show 'Buffy the Vampire Slayer',5,5,4,C,0.31,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,5
584,Control,NonSocial,Buffy,1,TikTok,36,Female,The TV show 'Buffy the Vampire Slayer',6,5,5,A,1,5,5,4,2,5,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
585,Tool,Social,Father,1,TikTok,32,Female,Their father,6,7,6,B,0.85,6,6,6,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,2,Yes,2,4
586,Tool,NonSocial,Titanic,1,TikTok,61,Male,The film 'Titanic',5,4,5,C,0.53,3,3,5,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,3,5
587,Control,Social,Friend,1,TikTok,28,Male,Their best friend,7,7,5,B,0.7,6,7,6,5,5,"They wrote it themselves, without any help from ChatGPT",No,7,Yes,5,5
588,Full,Social,Sister,1,TikTok,55,Female,Their sister,7,1,1,D,0.25,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,6
589,Control,NonSocial,Hobbit,1,TikTok,18,Male,The book 'The Hobbit',5,4,6,B,0.5,6,5,6,2,7,"They wrote it themselves, without any help from ChatGPT",Yes,6,Yes,3,5
590,Full,NonSocial,Hobbit,1,TikTok,61,Female,The book 'The Hobbit',3,6,6,C,0.5,4,3,2,5,4,They copied it word-for-word from ChatGPT,Yes,2,No,1,4
591,Tool,Social,Friend,1,TikTok,47,Female,Their best friend,6,6,6,B,0.8,6,6,6,3,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
592,Full,Social,Father,0.8999999761581421,TikTok,20,Male,Their father,6,5,2,D,0.25,5,6,4,3,5,They copied it word-for-word from ChatGPT,Yes,7,Yes,4,6
593,Control,NonSocial,Hobbit,1,TikTok,64,Male,The book 'The Hobbit',5,6,6,B,1,6,6,6,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,1
594,Full,NonSocial,Buffy,1,TikTok,49,Female,The TV show 'Buffy the Vampire Slayer',7,6,5,C,0.3,2,3,4,7,2,They copied it word-for-word from ChatGPT,No,6,Yes,3,6
595,Control,NonSocial,Titanic,1,TikTok,29,Male,The film 'Titanic',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,4
596,Control,NonSocial,Titanic,1,TikTok,24,Female,The film 'Titanic',4,5,5,B,0.81,7,4,4,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
597,Control,Social,Friend,1,Twitter,38,Male,Their best friend,6,7,7,B,1,6,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,6
